,index,est,value,beta,se,bias,variance
0,0,IPS,-0.04494058896375493,-3.0,14.399777122983215,14.361362235514406,2.565448153843186e-05
1,0,SNIPS,-1.0671514022160447,-3.0,23.202666636669253,23.949220237708506,0.005910444411936222
2,0,BIPW,-3.367951871285016,-3.0,50.66186835557972,50.2099926204108,0.0010121390766676451
3,1,IPS,3.087144542870845,-3.0,0.43906353314575297,14.361362235514406,9.778254746518064
4,1,SNIPS,0.46667542463227185,-3.0,10.7786655804292,23.949220237708506,2.5943745967161003
5,1,BIPW,-2.5118979164297692,-3.0,39.20840039409979,50.2099926204108,0.6793712834623618
6,2,IPS,-0.07303220281659885,-3.0,14.613764970853703,14.361362235514406,0.0010993627215405417
7,2,SNIPS,-2.292705844573062,-3.0,36.51143259571431,23.949220237708506,1.319454319053455
8,2,BIPW,-4.119897039085582,-3.0,61.9315528531172,50.2099926204108,0.6142786420379354
9,3,IPS,-0.031012102781223995,-3.0,14.294262166111036,14.361362235514406,7.856093838078678e-05
10,3,SNIPS,-0.6505427805607943,-3.0,19.362693043774428,23.949220237708506,0.24353044207275845
11,3,BIPW,-2.4712903162909208,-3.0,38.70150730668263,50.2099926204108,0.7479610628370895
12,4,IPS,-0.06676689930397557,-3.0,14.565902277493837,14.361362235514406,0.0007231439338358914
13,4,SNIPS,-1.4111138861438641,-3.0,26.634652675020597,23.949220237708506,0.07133336584271643
14,4,BIPW,-3.6001787305717996,-3.0,54.02164691931158,50.2099926204108,0.06971764575822555
15,5,IPS,-0.039600046760977975,-3.0,14.359274092520385,14.361362235514406,7.59095501825382e-08
16,5,SNIPS,-1.518320405713749,-3.0,27.752705261351693,23.949220237708506,0.14009269624670892
17,5,BIPW,-3.653655909814631,-3.0,54.81061505600628,50.2099926204108,0.10081778943241454
18,6,IPS,-0.043969307367605064,-3.0,14.392406614394128,14.361362235514406,1.6758737713895493e-05
19,6,SNIPS,-0.8819896614577932,-3.0,21.45313490773304,23.949220237708506,0.0686655671788511
20,6,BIPW,-2.2554508716872372,-3.0,36.06259648516148,50.2099926204108,1.1678841030212086
21,7,IPS,-0.03040295397803818,-3.0,14.289656427627227,14.361362235514406,8.973033379264436e-05
22,7,SNIPS,-0.7061000205705512,-3.0,19.854717365704282,23.949220237708506,0.1917833824295046
23,7,BIPW,-2.536920470889288,-3.0,39.52239203674391,50.2099926204108,0.6387482400481442
24,8,IPS,-0.034308096111627426,-3.0,14.319195850287112,14.361362235514406,3.099669467052108e-05
25,8,SNIPS,-0.7791597319234755,-3.0,20.511143253906496,23.949220237708506,0.13313090869840324
26,8,BIPW,-2.6612727927176025,-3.0,41.10138296791599,50.2099926204108,0.4554426943712065
27,9,IPS,-0.08645634884394192,-3.0,14.716580706970337,14.361362235514406,0.0021697695502907554
28,9,SNIPS,-2.3509399494401086,-3.0,37.218579362930086,23.949220237708506,1.456629654055048
29,9,BIPW,-4.006891276958251,-3.0,60.165689241139916,50.2099926204108,0.4499103100248265
30,10,IPS,-0.1997036101519812,-3.0,15.598288372796857,14.361362235514406,0.025545004452093307
31,10,SNIPS,-2.6890128834191955,-3.0,41.45783792243144,23.949220237708506,2.3869695856692092
32,10,BIPW,-2.2875338336325433,-3.0,36.44895591302138,50.2099926204108,1.0995701482549745
33,11,IPS,-0.49979724391595437,-3.0,18.05876427670631,14.361362235514406,0.21152795198859753
34,11,SNIPS,-3.0711347743620743,-3.0,46.524649674571336,23.949220237708506,3.71372966262062
35,11,BIPW,-3.986323025485182,-3.0,59.84703065286356,50.2099926204108,0.4227409080620027
36,12,IPS,-0.028343687958210087,-3.0,14.274091932633059,14.361362235514406,0.00013298415672169473
37,12,SNIPS,-0.585034992291256,-3.0,18.790475684324907,23.949220237708506,0.3124763320011837
38,12,BIPW,-2.208216709520075,-3.0,35.49752503716789,50.2099926204108,1.272205846487535
39,13,IPS,-0.08927696261518521,-3.0,14.73822965041625,14.361362235514406,0.0024404982207849517
